Sample	Picard_mqc-generalstats-picard-summed_median	Picard_mqc-generalstats-picard-PCT_PF_READS_ALIGNED	Picard_mqc-generalstats-picard-PCT_MRNA_BASES	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	Picard_mqc-generalstats-picard-summed_mean	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Picard_mqc-generalstats-picard-PCT_RIBOSOMAL_BASES	Rsem_mqc-generalstats-rsem-alignable_percent	RNA-SeQC_mqc-generalstats-rna_seqc-rRNA_rate	RNA-SeQC_mqc-generalstats-rna_seqc-Genes_Detected	RNA-SeQC_mqc-generalstats-rna_seqc-Expression_Profiling_Efficiency	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
RD011_merge_R1													54.7446303791	74.6180526168	29937333.0	18.1818181818	49.0
RD011_merge_R2													49.9900551331	74.5221999234	29937333.0	9.09090909091	50.0
RD012	206	0.917013	83.5999	0.263393	429.678034	83.49	22916672.0		90.450730581								
RD012.Aligned.sortedByCoord										0.0045906804	20007.0	0.8346546					
RD012_merge_R1													55.159021633	74.6442329703	27446911.0	18.1818181818	51.0
RD012_merge_R2													52.0104038597	74.5118215671	27446911.0	18.1818181818	52.0
RD013	169	0.934585	74.0641	0.314	251.240431	81.5	28149946.0		92.5080726102								
RD013.Aligned.sortedByCoord										0.0066720303	20349.0	0.8522388					
RD013_merge_R1													57.9374872304	74.6021488018	34540459.0	18.1818181818	49.0
RD013_merge_R2													54.3358843844	74.5185263462	34540459.0	18.1818181818	49.0
RD014	187	0.929703	82.7139	0.272558	351.574892	84.27	24175576.0		91.9930500506								
RD014.Aligned.sortedByCoord										0.0026905083	20190.0	0.8553494					
RD014_merge_R1													55.1305691244	74.6320995785	28687143.0	18.1818181818	50.0
RD014_merge_R2													52.182988225	74.5126708156	28687143.0	18.1818181818	51.0
RD015	175	0.939292	79.1105	0.29102	286.091747	84.02	25666293.0		93.0045060924								
RD015.Aligned.sortedByCoord										0.0102270115	20125.0	0.85338527					
RD015_merge_R1													56.2470579553	74.6206783546	30547682.0	18.1818181818	50.0
RD015_merge_R2													54.3491093974	74.5163148549	30547682.0	18.1818181818	50.0
RD016	188	0.944257	80.3778	0.258257	312.011533	84.43	24614677.0		93.6821823538								
RD016.Aligned.sortedByCoord										0.0029344116	20440.0	0.8745117					
RD016_merge_R1													53.7866445268	74.6227417473	29152351.0	18.1818181818	50.0
RD016_merge_R2													52.1139884706	74.5118610502	29152351.0	18.1818181818	50.0
RD017	171	0.228496	82.1727	0.268273	266.391497	20.49	1242033.0		20.0359801118								
RD017.Aligned.sortedByCoord										0.00067464815	14037.0	0.21125983					
RD017_merge_R1													39.4635908876	74.643146431	6060937.0	18.1818181818	54.0
RD017_merge_R2													22.1111967653	74.6823802986	6060937.0	45.4545454545	70.0
RD018	189	0.941434	89.5005	0.203609	341.195877	87.65	26104864.0		93.4240376489								
RD018.Aligned.sortedByCoord										0.0038004701	19607.0	0.88256943					
RD018_merge_R1													52.1635407635	74.6431450052	29784078.0	18.1818181818	51.0
RD018_merge_R2													49.6659867182	74.5101309834	29784078.0	9.09090909091	51.0
RD019	182	0.926489	88.6304	0.19064	320.877775	85.8	23625881.0		91.7656007403								
RD019.Aligned.sortedByCoord										0.002368979	18862.0	0.8704585					
RD019_merge_R1													50.4923091292	74.6357144395	27536123.0	18.1818181818	50.0
RD019_merge_R2													45.7244867035	74.5162754757	27536123.0	9.09090909091	51.0
RD020	185	0.933372	87.6101	0.209897	320.154091	86.14	23512631.0		92.4074765853								
RD020.Aligned.sortedByCoord										0.003658101	19043.0	0.8604081					
RD020_merge_R1													50.7643177803	74.6385696233	27295719.0	18.1818181818	50.0
RD020_merge_R2													47.3443106525	74.5155880305	27295719.0	9.09090909091	51.0
RD021	196	0.933341	88.9354	0.22398	343.953241	86.87	22309372.0		92.4157954507								
RD021.Aligned.sortedByCoord										0.0030543543	18671.0	0.86099225					
RD021_merge_R1													52.0956497102	74.6523018384	25680061.0	18.1818181818	51.0
RD021_merge_R2													49.306548008	74.5087712993	25680061.0	9.09090909091	52.0
