chrom	source	feature	pos1	pos2	strand	gene_id	gene_name	gene_type	all_padj	p1_padj	12w_padj
chr7	HAVANA	gene	19678083	19681479	-	ENSMUSG00000074336.5	Apoc4	protein_coding	0.0107374599008542	0.0655764376751992	0.95868027999559
chr3	HAVANA	gene	144910921	144932529	-	ENSMUSG00000074195.3	Clca4b	protein_coding	0.013679375647884	NA	0.958808976856615
chr9	HAVANA	gene	46228580	46230466	+	ENSMUSG00000032083.8	Apoa1	protein_coding	0.0317987563129779	0.0074887474860292	NA
chr7	HAVANA	gene	126445858	126463108	-	ENSMUSG00000030730.12	Atp2a1	protein_coding	0.0351642624081057	NA	NA
chr6	HAVANA	gene	106710357	106749037	-	ENSMUSG00000005364.11	Il5ra	protein_coding	0.0362224443411734	0.613572032509417	0.135769735870334
chr12	HAVANA	gene	80953183	80968705	-	ENSMUSG00000021135.8	Slc10a1	protein_coding	0.0548167763524721	0.0377099286160431	0.766753343606935
chr11	HAVANA	gene	32283511	32284465	+	ENSMUSG00000069919.7	Hba-a1	protein_coding	0.0556466636818873	0.0938687495798425	0.142884646565936
chr17	HAVANA	gene	34801348	34804561	-	ENSMUSG00000024365.9	Cyp21a1	protein_coding	0.0658010249933994	0.00183765241750742	NA
chr3	HAVANA	gene	146570426	146632305	+	ENSMUSG00000028186.14	Uox	protein_coding	0.0658010408274143	NA	0.959001737695801
chr6	HAVANA	gene	115774538	115805557	+	ENSMUSG00000030319.8	Cand2	protein_coding	0.0658010588929299	0.261678511550975	0.379106926722187
chr1	HAVANA	gene	172893961	172895041	-	ENSMUSG00000026542.6	Apcs	protein_coding	0.0828505384007203	NA	NA
chr17	HAVANA	gene	34728380	34743882	-	ENSMUSG00000073418.4	C4b	protein_coding	0.0935106220689805	0.00151344635424056	0.959371795111421
chr8	HAVANA	gene	10962957	10970814	-	ENSMUSG00000109508.1	RP23-366O14.9	lincRNA	0.0935106639078295	NA	0.0100176895918418
chr2	HAVANA	gene	35081861	35101543	-	ENSMUSG00000035875.15	RP23-223C17.3	protein_coding	0.0966881316110683	0.0699614800079865	0.958546564798397
chr12	HAVANA	gene	104338486	104394257	+	ENSMUSG00000079012.11	Serpina3m	protein_coding	0.0966881477025223	NA	NA
chr4	HAVANA	gene	92190744	92191749	-	ENSMUSG00000066107.6	RP23-434B7.2	protein_coding	0.0966881698196556	0.512855140317895	NA
chr1	HAVANA	gene	163623793	163624678	+	ENSMUSG00000102117.1	Rpsa-ps1	processed_pseudogene	0.112218892538063	0.518704047863114	NA
chr5	HAVANA	gene	112688876	112896362	-	ENSMUSG00000072720.9	Myo18b	protein_coding	0.112218934894509	NA	0.466061353334471
chrX	HAVANA	gene	150547375	150570638	+	ENSMUSG00000025270.13	Alas2	protein_coding	0.112218940890642	0.0785395375085975	0.766771804663555
chr2	HAVANA	gene	114047282	114053548	-	ENSMUSG00000068614.7	Actc1	protein_coding	0.112218988240055	NA	NA
chr6	HAVANA	gene	116633008	116673952	-	ENSMUSG00000042129.8	Rassf4	protein_coding	0.129441315398196	0.710709557024079	0.0475390674811548
chr6	HAVANA	gene	85706727	85713205	-	ENSMUSG00000089694.2	RP24-478I22.5	protein_coding	0.129441323026504	NA	0.0355080029088543
chr6	HAVANA	gene	115840697	115853371	-	ENSMUSG00000030322.12	Mbd4	protein_coding	0.13313454166429	0.548826616432131	0.371860389825551
chr1	HAVANA	gene	171225054	171226379	+	ENSMUSG00000005681.12	Apoa2	protein_coding	0.140448554308073	NA	0.958551903626709
chr8	HAVANA	gene	104831572	104840093	+	ENSMUSG00000050097.6	Ces2b	protein_coding	0.144762198306693	0.975480853115221	0.000928674165999285
chr1	HAVANA	gene	79434669	79440120	-	ENSMUSG00000050711.7	Scg2	protein_coding	0.144762225407143	0.0161916152241715	NA
chr5	HAVANA	gene	5781615	5783555	-	ENSMUSG00000100801.1	AC092404.2	processed_pseudogene	0.151099802965108	0.625788032904641	0.371860900128453
chr6	HAVANA	gene	116410077	116461178	-	ENSMUSG00000025701.12	Alox5	protein_coding	0.151649319274357	0.998932406763707	1.56067489433598e-16
chr7	HAVANA	gene	19671579	19677941	-	ENSMUSG00000002992.17	Apoc2	protein_coding	0.151649381700987	7.44258580577046e-05	0.972654822496165
chr4	HAVANA	gene	155398763	155421704	-	ENSMUSG00000084803.8	RP23-317N1.2	processed_transcript	0.151649445972415	0.797922777222272	0.00335431319844141
chr17	HAVANA	gene	45600971	45602102	-	ENSMUSG00000079471.4	RP24-86D16.5	protein_coding	0.169869156321923	0.353419697881494	0.582060403613096
chr14	HAVANA	gene	30886476	30902353	+	ENSMUSG00000021922.17	Itih4	protein_coding	0.198171065122633	NA	0.960192952708699
chr6	HAVANA	gene	116199408	116207993	-	ENSMUSG00000108030.1	RP23-374K9.4	bidirectional_promoter_lncRNA	0.203419718692641	NA	0.0109038145303202
chr5	HAVANA	gene	137569840	137587481	+	ENSMUSG00000029716.13	Tfr2	protein_coding	0.218519460415359	0.0224255843714908	0.952922946509413
chr5	HAVANA	gene	100840797	100847167	-	ENSMUSG00000087611.1	AC161510.1	antisense	0.220510645860284	0.993763342472253	0.0090724778174946
chr1	HAVANA	gene	128284756	128328318	-	ENSMUSG00000026354.8	Lct	protein_coding	0.220510697385044	0.418904943004324	0.326955445093691
chr3	HAVANA	gene	98280435	98310738	+	ENSMUSG00000027875.12	Hmgcs2	protein_coding	0.223841240559425	0.0502311680682742	0.923300583663216
chr4	HAVANA	gene	4133531	4138819	-	ENSMUSG00000045573.9	Penk	protein_coding	0.225339236788012	0.00703464887885149	0.961528687129855
chr4	HAVANA	gene	119175457	119190011	-	ENSMUSG00000028644.16	Ermap	protein_coding	0.235031148653871	0.631105143042871	NA
chr2	HAVANA	gene	69670120	69684230	+	ENSMUSG00000075307.3	Klhl41	protein_coding	0.235031245396796	NA	0.961139360958051
chr10	HAVANA	gene	81194609	81210877	+	ENSMUSG00000085779.1	Atcayos	antisense	0.238497598554915	NA	NA
chr8	HAVANA	gene	80493781	80510542	+	ENSMUSG00000051839.7	Gypa	protein_coding	0.24804710537668	0.153559907812897	NA
chr1	HAVANA	gene	9545408	9547455	+	ENSMUSG00000061024.8	Rrs1	protein_coding	0.249834019981045	0.364408798597321	0.961553295114042
chr17	HAVANA	gene	31125306	31129646	-	ENSMUSG00000024029.4	Tff3	protein_coding	0.252822500849476	0.0975180463418782	NA
chr5	HAVANA	gene	115279666	115296972	+	ENSMUSG00000041733.10	Coq5	protein_coding	0.252822598629011	0.754561238902593	0.239345408359686
chr1	HAVANA	gene	88103252	88219003	+	ENSMUSG00000090145.7	Ugt1a6b	protein_coding	0.267170471930621	0.000203077987472732	0.980380551387786
chr10	HAVANA	gene	24915221	24927484	-	ENSMUSG00000019987.9	Arg1	protein_coding	0.272757168415848	NA	0.958610056375056
chr11	HAVANA	gene	4064841	4077736	+	ENSMUSG00000054986.13	Sec14l3	protein_coding	0.275692565738565	NA	0.0464186083823947
chr7	HAVANA	gene	92741603	92844535	+	ENSMUSG00000030643.14	Rab30	protein_coding	0.276068105535994	0.206950533949774	0.77165263970097
chr11	HAVANA	gene	90030348	90036508	+	ENSMUSG00000069763.3	Tmem100	protein_coding	0.294976232262786	0.175224233677108	0.529505710191663
chr4	HAVANA	gene	47208161	47313167	+	ENSMUSG00000028339.17	Col15a1	protein_coding	0.294976239799458	0.0196717466307576	0.745779584125328
chr4	HAVANA	gene	115518264	115533649	+	ENSMUSG00000066072.13	Cyp4a10	protein_coding	0.295306812919712	0.0246217726473161	0.959256628706067
chr4	HAVANA	gene	108043839	108144998	-	ENSMUSG00000028603.15	Scp2	protein_coding	0.29530695231028	0.793851526250377	0.959147018957371
chr6	HAVANA	gene	71199827	71205023	+	ENSMUSG00000054422.7	Fabp1	protein_coding	0.309488774977143	0.027717544681142	0.959977267650927
chr2	HAVANA	gene	132781278	132795079	+	ENSMUSG00000027350.8	Chgb	protein_coding	0.318069024499747	0.00849648785536972	NA
chr1	HAVANA	gene	66924295	66945404	-	ENSMUSG00000061816.15	Myl1	protein_coding	0.320916524885729	NA	0.99966482208321
chr1	ENSEMBL	gene	105455971	105458829	+	ENSMUSG00000067017.5	Gm3608	pseudogene	0.320916699679847	0.600024670854652	0.869014961904016
chr10	HAVANA	gene	75771230	75773414	-	ENSMUSG00000001666.8	Ddt	protein_coding	0.320916827658355	0.640219115578484	0.839504624728862
chr5	HAVANA	gene	110110092	110129794	+	ENSMUSG00000023284.15	Zfp605	protein_coding	0.32091696272051	0.829056791568437	0.0010241748188438
chr12	HAVANA	gene	32378704	32382943	+	ENSMUSG00000090946.3	Ccdc71l	protein_coding	0.340474366185442	0.987789630574353	0.264311302430218
chr7	HAVANA	gene	103826534	103828096	-	ENSMUSG00000052305.6	Hbb-bs	protein_coding	0.357668992027492	0.151292366244172	0.958585581733527
chr17	HAVANA	gene	35128997	35132050	-	ENSMUSG00000024391.7	Apom	protein_coding	0.376323913094544	0.0892921145749702	0.958493688810246
chr11	HAVANA	gene	30930774	30954335	-	ENSMUSG00000020311.17	Erlec1	protein_coding	0.378320778169544	0.865728281388766	0.958686517238809
chr6	HAVANA	gene	141629518	141686646	+	ENSMUSG00000030236.10	Slco1b2	protein_coding	0.385273490847801	0.0207664971394759	NA
chr12	HAVANA	gene	104247905	104253669	+	ENSMUSG00000041449.16	Serpina3h	transcribed_unprocessed_pseudogene	0.385273592144703	0.999808209257842	0.00335431364730093
chr13	HAVANA	gene	4191150	4205596	+	ENSMUSG00000021213.12	Akr1c13	protein_coding	0.411049645999044	0.900075263859232	0.0561564746658238
chr7	HAVANA	gene	30493622	30513402	+	ENSMUSG00000036892.12	Prodh2	protein_coding	0.411050022457447	0.247762990787717	0.938147345430043
chr17	HAVANA	gene	14978864	15064232	+	ENSMUSG00000036552.17	Ermard	protein_coding	0.411050129260132	0.602851738216213	0.959368935833252
chr7	HAVANA	gene	133883199	134232146	-	ENSMUSG00000054555.11	Adam12	protein_coding	0.411050215925982	0.896581326466826	0.147951376247419
chr12	HAVANA	gene	103817856	103822243	-	ENSMUSG00000090555.1	RP23-122J17.9	unprocessed_pseudogene	0.4110503758665	NA	NA
chr4	HAVANA	gene	88718292	88722465	-	ENSMUSG00000070923.4	Klhl9	protein_coding	0.422845307097306	0.878269065002441	0.839502228184385
chr10	HAVANA	gene	81084324	81098874	-	ENSMUSG00000035041.8	Creb3l3	protein_coding	0.437785162675137	0.01230899157282	0.965999554944762
chr7	HAVANA	gene	123462291	123468004	+	ENSMUSG00000030762.11	Aqp8	protein_coding	0.449939055510722	NA	0.958742027035287
chr12	HAVANA	gene	102741732	102758672	-	ENSMUSG00000041716.7	RP24-234J3.3	protein_coding	0.449939260794037	0.337410263748305	0.959614678601475
chr2	HAVANA	gene	181147653	181157014	-	ENSMUSG00000016349.10	Eef1a2	protein_coding	0.452856463337003	0.201616171149329	NA
chr13	HAVANA	gene	97241105	97253034	+	ENSMUSG00000041773.8	Enc1	protein_coding	0.452856682016391	0.831475534832522	0.494288527419835
chr7	HAVANA	gene	44501699	44524656	-	ENSMUSG00000038670.11	Mybpc2	protein_coding	0.452856847183623	NA	NA
chr1	HAVANA	gene	98457768	98459162	+	ENSMUSG00000089791.1	AC102227.2	processed_pseudogene	0.461865243828444	0.99333263120488	0.27241502177606
chr7	HAVANA	gene	127208890	127214298	+	ENSMUSG00000030672.12	Mylpf	protein_coding	0.467409248155636	NA	0.999263234104025
chr5	HAVANA	gene	76140271	76155504	+	ENSMUSG00000029233.15	Srd5a3	protein_coding	0.467409589380204	0.994080268539645	0.756418781374062
chr6	HAVANA	gene	146577203	146599198	+	ENSMUSG00000040242.14	Fgfr1op2	protein_coding	0.467409604857172	0.938567480023904	0.249849490094012
chr7	HAVANA	gene	140906014	140907983	+	ENSMUSG00000109628.1	RP23-114A6.4	processed_transcript	0.46740983402017	0.722101604491134	0.585814537180783
chr10	HAVANA	gene	75831114	75837424	-	ENSMUSG00000033318.7	Gstt2	protein_coding	0.46740986808875	0.99363821594662	0.00718361988368526
chr1	HAVANA	gene	107529003	107549271	+	ENSMUSG00000092572.7	Serpinb10	polymorphic_pseudogene	0.510098303493439	NA	NA
chr13	HAVANA	gene	93616675	93637961	-	ENSMUSG00000074768.6	Bhmt	protein_coding	0.510098554838965	0.0541737009207846	0.959108437530476
chr14	HAVANA	gene	48518236	48560287	+	ENSMUSG00000115756.1	RP23-105B9.4	processed_transcript	0.510098750693545	NA	0.958865193678405
chr19	HAVANA	gene	33719670	33769142	-	ENSMUSG00000087303.2	Lipo2	protein_coding	0.510098765634955	0.007497341681997	0.983941246199943
chr2	HAVANA	gene	27165233	27183200	+	ENSMUSG00000000889.8	Dbh	protein_coding	0.510099073469513	0.0084964890385426	NA
chr11	HAVANA	gene	70358138	70358781	+	ENSMUSG00000082145.1	RP23-42P20.3	processed_pseudogene	0.510099261762022	NA	0.33357428244794
chr14	HAVANA	gene	54583663	54605993	-	ENSMUSG00000022179.5	RP23-94B13.4	protein_coding	0.5366839312403	0.435869217153735	0.959266221191093
chr10	HAVANA	gene	35708675	35711892	-	ENSMUSG00000063953.3	Amd2	protein_coding	0.566102787466242	0.99654329216106	0.0033793996834925
chr17	HAVANA	gene	70875840	70876312	+	ENSMUSG00000100865.1	RP23-85E24.2	transcribed_processed_pseudogene	0.575875150762224	0.787016726541901	0.958798797053633
chr6	HAVANA	gene	92370908	92706155	-	ENSMUSG00000030020.13	Prickle2	protein_coding	0.596921704115082	0.99329882743847	0.000382392628414421
chr10	HAVANA	gene	80258151	80261012	-	ENSMUSG00000020150.13	Gamt	protein_coding	0.604675330434779	0.155331159165362	0.609284594973973
chr9	HAVANA	gene	4376562	4386870	+	ENSMUSG00000041124.11	Msantd4	protein_coding	0.604675452370865	0.99381742730693	0.949599951074946
chr17	HAVANA	gene	35320405	35325099	+	ENSMUSG00000079507.10	H2-Q1	protein_coding	0.60629793810353	NA	NA
chr14	HAVANA	gene	30929180	30943289	-	ENSMUSG00000006529.16	Itih1	protein_coding	0.606298113296813	NA	0.961144061724805
chr9	HAVANA	gene	46232933	46235636	-	ENSMUSG00000032081.10	Apoc3	protein_coding	0.606298292425548	0.00749734328997366	0.979317390831967
chr11	HAVANA	gene	70657202	70662513	+	ENSMUSG00000060600.15	Eno3	protein_coding	0.627430305101412	0.289787968031979	0.961226770928572
chr15	HAVANA	gene	72501089	72546340	-	ENSMUSG00000036760.7	Kcnk9	protein_coding	0.633222727429084	0.142665406465443	NA
chr13	HAVANA	gene	107469822	107482718	+	ENSMUSG00000114780.1	RP23-157D19.1	lincRNA	0.64303910590961	0.697911001033359	0.201563290486339
chr19	HAVANA	gene	7781041	7802667	-	ENSMUSG00000053303.14	Slc22a26	protein_coding	0.67511868477558	0.997547651357322	2.92739588613285e-05
chr16	HAVANA	gene	23057865	23082068	+	ENSMUSG00000022875.17	Kng1	protein_coding	0.685489920611864	NA	0.962930902215157
chr17	HAVANA	gene	26505590	26508519	-	ENSMUSG00000024190.6	Dusp1	protein_coding	0.685490678903158	0.600024630524385	0.105724673087897
chr12	HAVANA	gene	102554969	102565028	+	ENSMUSG00000021194.6	Chga	protein_coding	0.685490704377465	0.0188662780322552	NA
chr8	HAVANA	gene	119434124	119446256	+	ENSMUSG00000074063.10	Osgin1	protein_coding	0.685490805532546	0.709280920909494	0.646019050041424
chr2	HAVANA	gene	33216069	33247717	+	ENSMUSG00000004105.8	Angptl2	protein_coding	0.716809158235616	0.854758514420727	0.959327680191265
chr2	HAVANA	gene	34983331	35061438	-	ENSMUSG00000026874.10	Hc	protein_coding	0.716809328625454	NA	NA
chr11	HAVANA	gene	87793581	87804413	+	ENSMUSG00000009350.13	Mpo	protein_coding	0.716809444848837	0.00351401374511601	NA
chr4	HAVANA	gene	115486200	115496142	-	ENSMUSG00000028715.2	Cyp4a14	protein_coding	0.716809781248883	0.00749735075436213	0.965854537007844
chr6	HAVANA	gene	90223317	90224438	-	ENSMUSG00000057697.2	Vmn1r53	protein_coding	0.721375657953803	NA	NA
chr9	HAVANA	gene	58006411	58027023	+	ENSMUSG00000032323.13	Cyp11a1	protein_coding	0.721375999442426	0.00493391024632867	NA
chr5	HAVANA	gene	105270702	105293698	-	ENSMUSG00000104713.4	Gbp6	protein_coding	0.731019743275251	0.966303752461858	2.38368298235827e-11
chr4	HAVANA	gene	44034075	44084177	-	ENSMUSG00000028479.18	Gne	protein_coding	0.756162654030539	0.899245785262974	0.937680139824177
chr3	HAVANA	gene	49381333	49382746	-	ENSMUSG00000104309.1	RP23-404C21.2	processed_pseudogene	0.77021362251359	0.911666886673832	0.937685558281941
chr13	HAVANA	gene	93674433	93752833	+	ENSMUSG00000042102.7	Dmgdh	protein_coding	0.770213881455927	0.190126134985199	0.9605470225981
chr16	HAVANA	gene	4036942	4040024	+	ENSMUSG00000005980.15	Dnase1	protein_coding	0.793231956945266	0.999607801098623	0.00332327560778323
chr8	HAVANA	gene	25806555	25815982	+	ENSMUSG00000031574.8	Star	protein_coding	0.793232280983567	0.0183173359708708	0.959558272402026
chr15	HAVANA	gene	52040107	52045722	+	ENSMUSG00000068522.4	Aard	protein_coding	0.821294087629477	0.999287538014579	0.00303817702202071
chr9	HAVANA	gene	110419747	110423012	+	ENSMUSG00000032484.8	Ngp	protein_coding	0.823244267088073	0.0388826716888196	NA
chr4	HAVANA	gene	41903610	41904743	+	ENSMUSG00000094065.1	Ccl21b	protein_coding	0.862335127472292	0.00980845558101694	0.960844130181531
chr9	HAVANA	gene	98486115	98509781	+	ENSMUSG00000032454.9	Rbp2	protein_coding	0.862335512241475	0.048572402008347	0.958500318669319
chr18	HAVANA	gene	80126311	80151482	-	ENSMUSG00000053950.10	Adnp2	protein_coding	0.879499842175707	0.987864457956476	0.628647989633456
chr7	HAVANA	gene	103812524	103813996	-	ENSMUSG00000073940.3	Hbb-bt	protein_coding	0.885179321519124	0.19012409478071	0.962954160219936
chr1	HAVANA	gene	171213970	171220701	+	ENSMUSG00000005677.14	Nr1i3	protein_coding	0.885179629871929	0.238080117835332	0.966021694255113
chr5	HAVANA	gene	103955440	103977410	-	ENSMUSG00000034528.15	Hsd17b13	protein_coding	0.887392765387749	0.827239153254491	0.766749030076471
chr16	HAVANA	gene	90738324	90749785	+	ENSMUSG00000039956.8	Mrap	protein_coding	0.937655954133644	0.335741181328991	0.959453453990829
chr4	HAVANA	gene	6396207	6454271	-	ENSMUSG00000028245.15	Nsmaf	protein_coding	0.937656289221075	0.987857936806742	0.958481256773429
chr10	HAVANA	gene	76575648	76590338	+	ENSMUSG00000001155.13	Ftcd	protein_coding	0.937656746180312	NA	0.949594709395817
chr11	HAVANA	gene	98386450	98388181	+	ENSMUSG00000038216.7	Pnmt	protein_coding	0.937657349732342	0.339877294353613	NA
chr4	HAVANA	gene	43875530	43944806	+	ENSMUSG00000028476.13	Reck	protein_coding	0.937657777806404	0.56000580651084	0.889998022810451
chr9	HAVANA	gene	24718138	24774303	-	ENSMUSG00000031965.15	Tbx20	protein_coding	0.937657971287873	0.05967401008721	NA
chrX	HAVANA	gene	38316184	38336769	+	ENSMUSG00000016327.9	Atp1b4	protein_coding	0.960254709243084	NA	NA
chr1	HAVANA	gene	189640606	189688086	-	ENSMUSG00000026605.14	Cenpf	protein_coding	0.986766323433265	0.93856992076321	0.688562237198401
chr14	HAVANA	gene	51144998	51146785	-	ENSMUSG00000035896.5	Rnase1	protein_coding	0.986766696523632	NA	0.692963272912747
chr14	HAVANA	gene	18271136	18284003	+	ENSMUSG00000021772.15	Nkiras1	protein_coding	0.989942102606558	0.282873950030947	0.959507061735472
chr14	HAVANA	gene	20140057	20181809	-	ENSMUSG00000023243.9	Kcnk5	protein_coding	0.989942971228799	0.998205267956936	0.0009286746943344
chr2	HAVANA	gene	25498651	25501719	-	ENSMUSG00000015083.11	C8g	protein_coding	0.989943050404893	0.970332930784049	0.709976011556716
chr19	HAVANA	gene	43689672	43733697	+	ENSMUSG00000025192.13	Entpd7	protein_coding	0.989943339515567	0.262759201170975	0.962347237109757
chr2	HAVANA	gene	39066214	39190734	-	ENSMUSG00000035236.17	Scai	protein_coding	0.989945732058513	0.504336605328982	0.960174340485983
chr15	HAVANA	gene	78899667	78919032	+	ENSMUSG00000116069.1	RP23-305P10.8	protein_coding	0.98994713485759	NA	NA
chr1	HAVANA	gene	120474538	120505024	-	ENSMUSG00000026390.7	Marco	protein_coding	0.989948035050963	0.0485724007849846	NA
chr6	HAVANA	gene	116264222	116330302	+	ENSMUSG00000042213.17	Zfand4	protein_coding	0.989948488384142	0.997885927025637	0.0598198004469485
chr12	HAVANA	gene	104406729	104414329	+	ENSMUSG00000021091.8	Serpina3n	protein_coding	0.989949184286163	NA	0.988579025700916
chr12	HAVANA	gene	90724552	90738438	-	ENSMUSG00000007682.6	Dio2	protein_coding	0.989950392462375	0.99864261011175	0.00615077907120516
chr16	HAVANA	gene	96200470	96228933	+	ENSMUSG00000040666.18	Sh3bgr	protein_coding	0.989951906515815	0.0514678752964617	0.979322864835022
chr12	HAVANA	gene	112620045	112641360	+	ENSMUSG00000011148.14	Adssl1	protein_coding	0.989952011688222	0.873269880371584	0.839507472934762
chr8	HAVANA	gene	13037308	13056676	+	ENSMUSG00000031444.16	F10	protein_coding	0.989952017659838	0.175491670123869	0.960396974032919
chr9	HAVANA	gene	99575799	99584501	+	ENSMUSG00000032469.12	Dbr1	protein_coding	0.989952974797442	0.832080158391681	0.960176423605536
chr18	ENSEMBL	gene	74779197	74806207	+	ENSMUSG00000036880.9	Acaa2	protein_coding	0.989953034874495	0.993362103060771	0.0804184590011098
chr10	HAVANA	gene	99263231	99267489	+	ENSMUSG00000019960.8	Dusp6	protein_coding	0.989953446644223	0.976733021184951	0.35508048352692
chr13	HAVANA	gene	62836877	62858422	-	ENSMUSG00000021456.8	Fbp2	protein_coding	0.989955377021215	0.353419675046622	0.959711539749084
chr12	HAVANA	gene	104127996	104139545	+	ENSMUSG00000066364.2	Serpina3b	protein_coding	0.989955403094229	NA	1.31923107712768e-05
chr4	HAVANA	gene	12039355	12090020	-	ENSMUSG00000049488.14	Tmem67	protein_coding	0.989957255512507	0.999744997297304	0.147951219250952
chr13	HAVANA	gene	36725361	36735131	-	ENSMUSG00000039114.16	Nrn1	protein_coding	0.98995831235425	0.308293034400588	0.960167122810669
chr6	HAVANA	gene	85732513	85765754	-	ENSMUSG00000051262.9	Cml3	protein_coding	0.989960101608608	NA	0.283218899253083
chr4	HAVANA	gene	154895504	154899135	-	ENSMUSG00000029059.9	Fam213b	protein_coding	0.989960773082122	0.995954933128373	0.014954162653859
chr6	HAVANA	gene	89643988	89675529	+	ENSMUSG00000000811.13	Txnrd3	protein_coding	0.989964165843866	0.977228793064757	0.958742220977384
chr1	HAVANA	gene	150265535	150265999	-	ENSMUSG00000099875.1	AC121113.2	processed_pseudogene	0.989965423625387	0.998858801371727	0.160669653325778
chr7	HAVANA	gene	46511451	46512780	-	ENSMUSG00000110316.1	RP23-116A10.3	sense_intronic	0.989968641705738	NA	0.96142092646333
chr19	HAVANA	gene	39992424	40012243	+	ENSMUSG00000042248.4	Cyp2c37	protein_coding	0.989969585729809	0.204198233979063	0.959364398991839
chr9	HAVANA	gene	114401076	114474898	+	ENSMUSG00000045594.10	Glb1	protein_coding	0.98997238322023	0.999072426646245	0.178653198147935
chrX	HAVANA	gene	10252305	10321024	+	ENSMUSG00000031173.13	Otc	protein_coding	0.989972440309383	NA	NA
chr6	HAVANA	gene	129091998	129100913	-	ENSMUSG00000030155.7	Clec2e	protein_coding	0.989973761830983	NA	NA
chr7	HAVANA	gene	7213017	7278289	-	ENSMUSG00000110105.1	RP24-77E13.10	protein_coding	0.989973921561476	0.743654797061376	0.958508551870471
chr3	HAVANA	gene	94478295	94492198	+	ENSMUSG00000028137.9	Celf3	protein_coding	0.989974503881993	0.151680947362381	0.959602832175292
chr12	HAVANA	gene	103853589	103863562	-	ENSMUSG00000066366.14	Serpina1a	protein_coding	0.989974995673415	0.238337047406684	0.972152093671555
chr11	HAVANA	gene	115268024	115277050	-	ENSMUSG00000018861.8	Fdxr	protein_coding	0.989975102097416	0.420081679903326	0.962871719555274
chr12	HAVANA	gene	7977648	8016835	+	ENSMUSG00000020609.14	Apob	protein_coding	0.989977260394879	0.00703464895765748	0.960433959558768
chr7	HAVANA	gene	28376784	28380253	-	ENSMUSG00000044786.6	Zfp36	protein_coding	0.989977988555221	0.998569883787604	0.115258411674626
chr15	HAVANA	gene	7760714	7760992	+	ENSMUSG00000115497.1	RP23-350J23.1	lincRNA	0.989979571513328	0.938537919594541	0.911384777537875
chr11	HAVANA	gene	97923238	97986444	-	ENSMUSG00000017417.14	Plxdc1	protein_coding	0.989980876231171	0.995093806903002	0.258021463873127
chr6	HAVANA	gene	128849090	128891126	-	ENSMUSG00000090164.8	RP24-127M20.2	protein_coding	0.989981449931315	0.854683296091374	0.958524885041849
chr12	HAVANA	gene	111484609	111485823	-	ENSMUSG00000010529.6	RP23-41J14.5	protein_coding	0.989981979662315	0.995029663104463	0.423937334896467
chr12	HAVANA	gene	104263122	104269372	+	ENSMUSG00000079014.4	Serpina3i	protein_coding	0.989982013409707	0.995185428653815	0.041753821427085
chr2	HAVANA	gene	32721055	32755512	+	ENSMUSG00000059013.12	Sh2d3c	protein_coding	0.989982138417179	0.695677749431312	0.960419041792665
chr10	HAVANA	gene	21377291	21396585	+	ENSMUSG00000037542.13	Aldh8a1	protein_coding	0.989982227469121	0.168926225582996	0.972555551783503
chr10	HAVANA	gene	128776371	128777250	-	ENSMUSG00000045055.5	RP23-438J1.5	processed_pseudogene	0.989982381789871	0.978224371360951	0.602986268433752
