Sample	STAR_mqc-generalstats-uniquely_mapped	STAR_mqc-generalstats-uniquely_mapped_percent	Picard_mqc-generalstats-PERCENT_DUPLICATION	Rsem_mqc-generalstats-alignable_percent	RNA-SeQC_mqc-generalstats-Expression_Profiling_Efficiency	RNA-SeQC_mqc-generalstats-Genes_Detected	RNA-SeQC_mqc-generalstats-rRNA_rate	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc
RD006	31021026.0	87.2	0.178247	93.6033299928								
RD006.Aligned.sortedByCoord					0.86712056	22813.0	0.003233076					
RD006_merge_R1								9.09090909091	74.6461213362	48.8549205314	35574945.0	51.0
RD006_merge_R2								9.09090909091	74.511076658	47.4994150925	35574945.0	51.0
RD007	21737834.0	83.09	0.158952	88.9198282863								
RD007.Aligned.sortedByCoord					0.8278155	21516.0	0.0028775935					
RD007_merge_R1								9.09090909091	74.6471778797	45.3303219315	26162138.0	51.0
RD007_merge_R2								9.09090909091	74.5189680599	41.349874182	26162138.0	52.0
RD008	25677887.0	85.18	0.17497	91.3047624935								
RD008.Aligned.sortedByCoord					0.8468509	22060.0	0.00433121					
RD008_merge_R1								9.09090909091	74.6517970293	46.9401557573	30143999.0	51.0
RD008_merge_R2								9.09090909091	74.5142281885	43.8202319529	30143999.0	52.0
RD009	25230932.0	87.16	0.18102	93.89595499								
RD009.Aligned.sortedByCoord					0.87641436	22047.0	0.003096424					
RD009_merge_R1								9.09090909091	74.6562354576	47.1389033882	28947747.0	51.0
RD009_merge_R2								9.09090909091	74.5079882037	44.8793807116	28947747.0	52.0
RD010	24496988.0	85.38	0.278648	92.8784517617								
RD010.Aligned.sortedByCoord					0.8646943	19826.0	0.005126797					
RD010_merge_R1								18.1818181818	74.6404494844	55.0225716201	28690917.0	51.0
RD010_merge_R2								18.1818181818	74.5122548366	51.6092023027	28690917.0	51.0
RD011	24284068.0	81.12	0.281385	90.1248565687								
RD011.Aligned.sortedByCoord					0.83396584	19946.0	0.008777769					
RD011_merge_R1								18.1818181818	74.6180526168	54.7446303791	29937333.0	49.0
RD011_merge_R2								9.09090909091	74.5221999234	49.9900551331	29937333.0	50.0
RD012	22916672.0	83.49	0.263393	90.450730581								
RD012.Aligned.sortedByCoord					0.8346546	20007.0	0.0045906804					
RD012_merge_R1								18.1818181818	74.6442329703	55.159021633	27446911.0	51.0
RD012_merge_R2								18.1818181818	74.5118215671	52.0104038597	27446911.0	52.0
RD013	28149946.0	81.5	0.314	92.5080726102								
RD013.Aligned.sortedByCoord					0.8522388	20349.0	0.0066720303					
RD013_merge_R1								18.1818181818	74.6021488018	57.9374872304	34540459.0	49.0
RD013_merge_R2								18.1818181818	74.5185263462	54.3358843844	34540459.0	49.0
RD014	24175576.0	84.27	0.272558	91.9930500506								
RD014.Aligned.sortedByCoord					0.8553494	20190.0	0.0026905083					
RD014_merge_R1								18.1818181818	74.6320995785	55.1305691244	28687143.0	50.0
RD014_merge_R2								18.1818181818	74.5126708156	52.182988225	28687143.0	51.0
RD015	25666293.0	84.02	0.29102	93.0045060924								
RD015.Aligned.sortedByCoord					0.85338527	20125.0	0.0102270115					
RD015_merge_R1								18.1818181818	74.6206783546	56.2470579553	30547682.0	50.0
RD015_merge_R2								18.1818181818	74.5163148549	54.3491093974	30547682.0	50.0
RD016	24614677.0	84.43	0.258257	93.6821823538								
RD016.Aligned.sortedByCoord					0.8745117	20440.0	0.0029344116					
RD016_merge_R1								18.1818181818	74.6227417473	53.7866445268	29152351.0	50.0
RD016_merge_R2								18.1818181818	74.5118610502	52.1139884706	29152351.0	50.0
RD017	1242033.0	20.49	0.268273	20.0359801118								
RD017.Aligned.sortedByCoord					0.21125983	14037.0	0.00067464815					
RD017_merge_R1								18.1818181818	74.643146431	39.4635908876	6060937.0	54.0
RD017_merge_R2								45.4545454545	74.6823802986	22.1111967653	6060937.0	70.0
RD018	26104864.0	87.65	0.203609	93.4240376489								
RD018.Aligned.sortedByCoord					0.88256943	19607.0	0.0038004701					
RD018_merge_R1								18.1818181818	74.6431450052	52.1635407635	29784078.0	51.0
RD018_merge_R2								9.09090909091	74.5101309834	49.6659867182	29784078.0	51.0
RD019	23625881.0	85.8	0.19064	91.7656007403								
RD019.Aligned.sortedByCoord					0.8704585	18862.0	0.002368979					
RD019_merge_R1								18.1818181818	74.6357144395	50.4923091292	27536123.0	50.0
RD019_merge_R2								9.09090909091	74.5162754757	45.7244867035	27536123.0	51.0
RD020	23512631.0	86.14	0.209897	92.4074765853								
RD020.Aligned.sortedByCoord					0.8604081	19043.0	0.003658101					
RD020_merge_R1								18.1818181818	74.6385696233	50.7643177803	27295719.0	50.0
RD020_merge_R2								9.09090909091	74.5155880305	47.3443106525	27295719.0	51.0
RD021	22309372.0	86.87	0.22398	92.4157954507								
RD021.Aligned.sortedByCoord					0.86099225	18671.0	0.0030543543					
RD021_merge_R1								18.1818181818	74.6523018384	52.0956497102	25680061.0	51.0
RD021_merge_R2								9.09090909091	74.5087712993	49.306548008	25680061.0	52.0
